ID	entityID	regionID	storeCode	address1	address2	address3	city	stateID	zip	latitude	longitude	openDate	closeDate	redirectEntityID	directions	timeZoneID	logo	logoKnockout
1	6	NULL	NULL	3902 Oakwood Hills Parkway	NULL	NULL	Eau Claire	1	54701	44.77629956	-91.44816724	NULL	NULL	NULL	NULL	1	NULL	NULL
2	7	NULL	NULL	716 W. Adams Street	NULL	NULL	Black River Falls	1	54615	44.30216424	-90.85545856	NULL	NULL	NULL	NULL	1	NULL	NULL
3	8	NULL	NULL	1214 15th Avenue	NULL	NULL	Bloomer	1	54724	45.10150876	-91.48829584	NULL	NULL	NULL	NULL	1	NULL	NULL
4	9	NULL	NULL	131 West Central Street	NULL	NULL	Chippewa Falls	1	54729	44.93486157	-91.39465735	NULL	NULL	NULL	NULL	1	NULL	NULL
5	10	NULL	NULL	3120 Schneider Avenue SE	Suite 9	NULL	Menomonie	1	54751	44.88340882	-91.88951681	NULL	NULL	NULL	NULL	1	NULL	NULL
7	12	NULL	NULL	840 Bear Paw Avenue	NULL	NULL	Rice Lake	1	54868	45.51117265	-91.75791642	NULL	NULL	NULL	NULL	1	NULL	NULL
8	13	NULL	NULL	120 West 4th Avenue	NULL	NULL	Stanley	1	54768	44.96280723	-90.93936459	NULL	NULL	NULL	NULL	1	NULL	NULL
9	14	NULL	NULL	519 North 17th Avenue	NULL	NULL	Wausau	1	54401	44.96872333	-89.65328354	NULL	NULL	NULL	NULL	1	NULL	NULL
10	15	NULL	NULL	109 South Center Avenue	Unit B	NULL	Merrill	1	54452	45.18134539	-89.68285226	NULL	NULL	NULL	NULL	1	NULL	NULL
11	16	NULL	NULL	1600 Cleveland Avenue	NULL	NULL	Marinette	1	54143	45.08579588	-87.6275483	NULL	NULL	NULL	NULL	1	NULL	NULL
12	17	NULL	NULL	227 Meridian Drive	Suite 2	NULL	New Richmond	1	54017	45.10856017	-92.53568689	NULL	NULL	NULL	NULL	1	NULL	NULL
13	18	NULL	NULL	404 Wisconsin Avenue	NULL	NULL	Amery	1	54001	45.31569255	-92.36122149	NULL	NULL	NULL	NULL	1	NULL	NULL
14	19	NULL	NULL	1460 10th Avenue	NULL	NULL	Baldwin	1	54002	44.96194557	-92.37538454	NULL	NULL	NULL	NULL	1	NULL	NULL
15	20	NULL	NULL	1561 Commerce Court	Unit 200	NULL	River Falls	1	54022	44.87685545	-92.62576784	NULL	NULL	NULL	NULL	1	NULL	NULL
16	21	NULL	NULL	1200 Main Street	NULL	NULL	La Crosse	1	54601	43.81151153	-91.23859134	NULL	NULL	NULL	NULL	1	NULL	NULL
17	22	NULL	NULL	500 North Holmen Drive	NULL	NULL	Holmen	1	54636	43.96804909	-91.26520666	NULL	NULL	NULL	NULL	1	NULL	NULL
18	23	NULL	NULL	1845 East Main Street	NULL	NULL	Onalaska	1	54650	43.88177647	-91.20784639	NULL	NULL	NULL	NULL	1	NULL	NULL
19	24	NULL	NULL	1403 Waterloo Avenue	NULL	NULL	West Salem	1	54669	43.89717056	-91.10196352	NULL	NULL	NULL	NULL	1	NULL	NULL
20	25	NULL	NULL	2480 White Bear Avenue N	Suite 203	NULL	Maplewood	1	55109	45.01643785	-93.0191195	NULL	NULL	NULL	NULL	1	NULL	NULL
21	26	NULL	NULL	2211 Hamline Avenue N	NULL	NULL	Roseville	1	55113	45.00799224	-93.15723566	NULL	NULL	NULL	NULL	1	NULL	NULL
22	27	NULL	NULL	4801 Cottage Grove Road	NULL	NULL	Madison	1	53716	43.08401367	-89.29884617	NULL	NULL	NULL	NULL	1	NULL	NULL
23	28	NULL	NULL	111 Warren Street	Unit A	NULL	Beaver Dam	1	53916	43.4494294	-88.82404582	NULL	NULL	NULL	NULL	1	NULL	NULL
24	29	NULL	NULL	2408 Montana Avenue	NULL	NULL	Sun Prairie	1	53590	43.18692307	-89.25853442	NULL	NULL	NULL	NULL	1	NULL	NULL
25	4	NULL	NULL	440 Chestnut Street	Unit 100	NULL	Wisconsin Rapids	1	54494	44.38383287	-89.82530713	NULL	NULL	NULL	NULL	1	NULL	NULL
26	5	NULL	NULL	115 Alpine Court	NULL	NULL	Shawano	1	54166	44.78885448	-88.6091577	NULL	NULL	NULL	NULL	1	NULL	NULL
